Column_Names,species,phylum
AB,a_clathratum,brown_algae
AC,articulated_coraline,grasses
AF,a_fimbriatum,brown_algae
AG,red_turban_snail,gastropods
AL,NA,NA
AM,a_marginata,brown_algae
AM,bat_star,echinoderms
AP,acrosiphonia,green_algae
AR,NA,NA
AS,NA,NA
BB,NA,NA
BC,NA,NA
BF,NA,NA
BH,diatom_mats,grasses
BP,NA,NA
BR,NA,NA
BT,begglatoa,green_algae
BT,black_turban,gastropods
CA,crimson_anemone,cnidarian
CB,hairy_cancer_grab,crustaceans
CD,NA,NA
CF,codium_fragile,green_algae
CF,broad_base_tunicate,tunicates
CG,cancer_gracillis,crustaceans
CG,cystoseria,brown_algae
CH,NA,NA
CJ,NA,NA
CL,cladophora,green_algae
CN,constantinea,red_algae
CO,costaria,brown_algae
CP,rose_star,echinoderms
CP,colpomenia,brown_algae
CR,cryptopheura,red_algae
CR,crinoids,echinoderms
CS,cookie_star,echinoderms
CS,codium_setchelli,green_algae
CT,crab,crustaceans
CY,cymathere,brown_algae
D9,NA,NA
DA,d_aculeata,brown_algae
DB,dictyota,brown_algae
DC,dungeness_crab,crustaceans
DE,NA,NA
DF,d_follacea,brown_algae
DG,NA,NA
DL,d_ligulata,brown_algae
DM,d_munda,brown_algae
DN,NA,NA
DR,NA,NA
DS,NA,NA
DT,NA,NA
DU,NA,NA
DV,d_viridis,brown_algae
DY,dictyoneurym,brown_algae
DZ,NA,NA
EG,egregia,brown_algae
EI,eisenia,brown_algae
EN,NA,NA
ET,NA,NA
FA,fauchea,red_algae
FC,NA,NA
FI,NA,NA
FO,NA,NA
FU,fucus,brown_algae
FY,NA,NA
FZ,NA,NA
GA,green_surf_anemone,cnidarian
GB,giant_barnacle,crustaceans
GF,green_false_jingle,bivalves
GH,NA,NA
GI,gigartina,red_algae
GJ,NA,NA
GK,NA,NA
GR,gracllaria,red_algae
HA,sea_peach,tunicates
HA,haloscaccion,red_algae
HE,hedophyllum,brown_algae
HE,erect_hydrocoral,cnidarian
HM,helmet crab,crustaceans
IR,iridea,red_algae
LA,NA,NA
LB,l_bongardiana,brown_algae
LE,leathesia,brown_algae
LF,NA,NA
LG,NA,NA
LL,NA,NA
LO,lessoniopsis,brown_algae
LR,NA,NA
LS,leather_star,echinoderms
LS,l_saccharina,brown_algae
LT,l_setchelli,brown_algae
LY,l_yezoensis,brown_algae
MA,macrocystis,brown_algae
MI,NA,NA
MN,NA,NA
MS,moon_snail,gastropods
NA.,NA,NA
no,NA,NA
NT,nereocystsic,brown_algae
OD,NA,NA
OP,NA,NA
PA,painted_anemone,cnidarian
PE,NA,NA
PH,phyliospadix,grasses
PK,NA,NA
PL,short_plumose_anenome,cnidarian
PL,pleurophycus ,brown_algae
PM,NA,NA
PO,porphyra,red_algae
PO,ochre_star,echinoderms
PP,postella,brown_algae
PQ,NA,NA
PR,prionitis,red_algae
PR,purple_ring_snail,gastropods
PS,puget_sound_king_crab,crustaceans
PT,pink_tip_anemone,cnidarian
PT,pterygophora,brown_algae
PV,pelvetiopsis,brown_algae
PY,NA,NA
RB,NA,NA
RF,NA,NA
RH,NA,NA
RL,NA,NA
RM,NA,NA
RT,NA,NA
SA,sargassum,brown_algae
SA,strawberry_anemone,cnidarian
SG,NA,NA
SH,shrimp,crustaceans
SL,scytosiphon,brown_algae
SL,solitary_tun,tunicates
SU,NA,NA
SY,NA,NA
TA,NA,NA
TU,NA,NA
UL,ulva,green_algae
US,NA,NA
UT,NA,NA
UV,NA,NA
ZM,NA,NA
ZO,zostera,grasses
ZO,zooanthids,cnidarian
ZT,NA,NA
ZZ,NA,NA
